"","NSEBANK.Adjusted"
"661",9312.599609
"662",9363.700195
"663",9119.049805
"664",9192.450195
"665",9387.700195
"666",9455.950195
"667",9292.599609
"668",9185.299805
"669",9238.200195
"670",9346.450195
"671",9451.75
"672",9534.099609
"673",9554.400391
"674",9588.900391
"675",9613.400391
"676",9576.25
"677",9758.049805
"678",9675.5
"679",9718.950195
"680",9673.599609
"681",9451.099609
"682",9542.200195
"683",9381.400391
"684",9464.599609
"685",9349.400391
"686",9357.150391
"687",9385.349609
"688",9550.900391
"689",9449.25
"690",9566.599609
"691",9713.700195
"692",9850.599609
"693",9931.599609
"694",9956.650391
"695",9932.099609
"696",10013.450195
"697",10032.5
"698",9976
"699",9992.150391
"700",10060.25
"701",10093.900391
"702",10024
"703",10090.650391
"704",10068.150391
"705",10179.700195
"706",10161
"707",10411.5
"708",10502.650391
"709",10489.299805
"710",10454.900391
"711",10383.650391
"712",10524.099609
"713",10519.950195
"714",10428.650391
"715",10583.650391
"716",10737.349609
"717",10680.549805
"718",10770.25
"719",10894.049805
"720",11110.5
"721",11033.75
"722",11095.5
"723",11043
"724",10937.849609
"725",10981.700195
"726",10727.450195
"727",10747.25
"728",10746.349609
"729",10879.75
"730",10980.599609
"731",10991.200195
"732",11218.799805
"733",11192.950195
"734",11190.049805
"735",11446.700195
"736",11872.849609
"737",11928.349609
"738",11987.599609
"739",12032.049805
"740",12104.099609
"741",12251.200195
"742",12244.950195
"743",12305.700195
"744",12146.299805
"745",12263.549805
"746",12253.200195
"747",12272.400391
"748",12237.549805
"749",12366.349609
"750",12556.75
"751",12651.299805
"752",12596.5
"753",12629.200195
"754",12536.599609
"755",12473.400391
"756",12513
"757",12461.799805
"758",12745
"759",12598.849609
"760",12346.450195
"761",12331.299805
"762",12245.650391
"763",12176.5
"764",12435.799805
"765",12384.799805
"766",12424.700195
"767",12332.650391
"768",12182.650391
"769",12105.299805
"770",12330.75
"771",12734.900391
"772",12770.900391
"773",12891.799805
"774",13182.900391
"775",13105.099609
"776",13121.349609
"777",13007.099609
"778",12823.599609
"779",12457.299805
"780",12762.150391
"781",12524.450195
"782",12315.150391
"783",12062.950195
"784",12390.099609
"785",12206.450195
"786",11842.549805
"787",11652.400391
"788",11668.849609
"789",11828.349609
"790",11952.599609
"791",12310.75
"792",12472.599609
"793",12349.200195
"794",12051.200195
"795",11695.299805
"796",11460.200195
"797",11116.049805
"798",11447
"799",11518.099609
"800",11560.5
"801",11196.299805
"802",11424.150391
"803",11267.099609
"804",11537.25
"805",11467.700195
"806",11469.049805
"807",11477.049805
"808",11470.950195
"809",11427.299805
"810",11612.900391
"811",11629.299805
"812",11791.450195
"813",11855.75
"814",11564.049805
"815",11305.450195
"816",11186.799805
"817",11053.349609
"818",10700.650391
"819",10833.549805
"820",11128.150391
"821",10716.650391
"822",10432.900391
"823",10471.099609
"824",10618.5
"825",10615.150391
"826",10798.349609
"827",10889.400391
"828",11151.150391
"829",10872.950195
"830",10676.150391
"831",10578.25
"832",10641.849609
"833",10481.200195
"834",10470.150391
"835",10670.599609
"836",10433.849609
"837",10384.049805
"838",10147.75
"839",10116.650391
"840",10074.099609
"841",10447.75
"842",10802.549805
"843",10959.700195
"844",10960.700195
"845",11134.700195
"846",10949.700195
"847",11050.099609
"848",10836.799805
"849",10646.450195
"850",10210.75
"851",10435.849609
"852",10435.349609
"853",10885.400391
"854",10914.5
"855",10963.400391
"856",10782.25
"857",10931.549805
"858",10974.799805
"859",10850.25
"860",10740.950195
"861",10893.25
"862",10725.799805
"863",10957.599609
"864",10851.950195
"865",10715.900391
"866",10723.599609
"867",10771.299805
"868",10958.099609
"869",11070.349609
"870",11387.299805
"871",11523.400391
"872",11582.5
"873",11765.200195
"874",11705.450195
"875",11590.950195
"876",11804.299805
"877",11798.900391
"878",11730.049805
"879",11754.400391
"880",11673.25
"881",11597.799805
"882",11839.5
"883",11735.650391
"884",11539.75
"885",11586.75
"886",11794.549805
"887",11894.75
"888",11879
"889",11867.700195
"890",11779.849609
"891",11684.799805
"892",11483.75
"893",11243.799805
"894",10898.299805
"895",10913.349609
"896",10730.099609
"897",11145.099609
"898",11076.5
"899",11009.400391
"900",11059.049805
"901",10887.450195
"902",11020.950195
"903",10912.349609
"904",10668.849609
"905",10599.049805
"906",10558.349609
"907",10664.099609
"908",10368.25
"909",10425.549805
"910",10355.799805
"911",10468.299805
"912",10722.650391
"913",10781.450195
"914",NA
"915",11033.400391
"916",10839.25
"917",10782
"918",10854.650391
"919",10873.450195
"920",10791.450195
"921",10785.400391
"922",10714.25
"923",10717.5
"924",10803.950195
"925",10626.650391
"926",10572.150391
"927",10598.25
"928",10484.299805
"929",10459.150391
"930",10475.200195
"931",10526.450195
"932",10854.5
"933",11032.5
"934",11054.049805
"935",11153.349609
"936",11244.650391
"937",11255
"938",11379.799805
"939",11406.099609
"940",11283.049805
"941",11426.099609
"942",11285.150391
"943",11135.5
"944",11022.549805
"945",11142.25
"946",11263.799805
"947",11234.549805
"948",11228.849609
"949",11313.849609
"950",11164.700195
"951",11049.799805
"952",11291.950195
"953",11391.799805
"954",11114.549805
"955",11000.150391
"956",10828.5
"957",10893.650391
