Date	Price	Open	High	Low	Change
17-Jul-16	98.66	98.7	101	98.31	-0.12
24-Jul-16	104.21	98.25	104.55	96.42	5.63
31-Jul-16	107.48	104.41	107.65	104	3.14
07-Aug-16	108.18	107.52	108.94	107.16	0.65
14-Aug-16	109.36	108.14	110.23	108.08	1.09
21-Aug-16	106.94	108.86	109.32	106.31	-2.21
28-Aug-16	107.73	106.62	108	105.5	0.74
04-Sep-16	103.13	107.9	108.76	103.13	-4.27
11-Sep-16	114.92	102.65	116.13	102.53	11.43
18-Sep-16	112.71	115.19	116.18	111.55	-1.92
25-Sep-16	113.05	111.64	114.64	111.55	0.3
02-Oct-16	114.06	112.71	114.56	112.28	0.89
09-Oct-16	117.63	115.02	118.69	114.72	3.13
16-Oct-16	116.6	117.33	118.21	113.8	-0.88
23-Oct-16	113.72	117.1	118.36	113.31	-2.47
30-Oct-16	108.84	113.65	114.23	108.11	-4.29
06-Nov-16	108.43	110.08	111.72	105.83	-0.38
13-Nov-16	110.06	107.71	110.54	104.08	1.5
20-Nov-16	111.79	110.12	112.42	110.01	1.57
27-Nov-16	109.9	111.43	112.47	108.85	-1.69
04-Dec-16	113.95	110	114.7	108.25	3.69
11-Dec-16	115.97	113.29	116.73	112.49	1.77
18-Dec-16	116.52	115.8	117.5	115.59	0.47
25-Dec-16	115.82	116.52	118.02	115.43	-0.6
01-Jan-17	117.91	115.8	118.16	114.76	1.8
08-Jan-17	119.04	117.95	119.93	117.94	0.96
15-Jan-17	120	118.34	120.5	118.22	0.81
22-Jan-17	121.95	120	122.44	119.5	1.63
29-Jan-17	129.08	120.93	130.49	120.62	5.85
05-Feb-17	132.12	129.13	132.94	128.9	2.36
12-Feb-17	135.72	133.08	136.27	132.75	2.72
19-Feb-17	136.66	136.23	137.48	135.28	0.69
26-Feb-17	139.78	137.14	140.28	136.28	2.28
05-Mar-17	139.14	139.37	139.98	137.05	-0.46
12-Mar-17	139.99	138.85	141.02	138.82	0.61
19-Mar-17	140.64	140.4	142.8	139.73	0.46
26-Mar-17	143.66	139.39	144.5	138.62	2.15
02-Apr-17	143.34	143.71	145.46	143.05	-0.22
09-Apr-17	141.05	143.6	143.88	140.06	-1.6
16-Apr-17	142.27	141.48	142.92	140.45	0.86
23-Apr-17	143.65	143.5	144.9	143.18	0.97
30-Apr-17	148.96	145.1	148.98	144.27	3.7
07-May-17	156.1	149.03	156.42	149.03	4.79
14-May-17	153.06	156.01	156.65	149.71	-1.95
21-May-17	153.61	154	154.9	152.67	0.36
28-May-17	155.45	153.42	155.45	152.22	1.2
04-Jun-17	148.98	154.34	155.98	146.02	-4.16
11-Jun-17	142.27	145.74	147.5	142.2	-4.5
18-Jun-17	146.28	143.66	147.16	143.66	2.82
25-Jun-17	144.02	147.17	148.28	142.28	-1.54
02-Jul-17	144.18	144.88	145.3	142.41	0.11
09-Jul-17	149.04	144.11	149.33	143.37	3.37
16-Jul-17	150.27	148.82	151.74	148.57	0.83
23-Jul-17	149.5	150.58	153.99	147.3	-0.51
30-Jul-17	156.39	149.9	159.75	148.13	4.61
06-Aug-17	157.48	157.06	161.83	154.63	0.7
13-Aug-17	157.5	159.32	162.51	156.72	0.01
20-Aug-17	159.86	157.5	160.74	155.11	1.5
27-Aug-17	164.05	160.14	164.94	159.93	2.62
03-Sep-17	158.63	163.75	164.25	158.53	-3.3
10-Sep-17	159.88	160.5	163.96	157.91	0.79
17-Sep-17	151.89	160.11	160.5	150.56	-5
24-Sep-17	154.12	149.99	154.72	149.16	1.47
01-Oct-17	155.3	154.26	155.49	152.46	0.77
08-Oct-17	156.99	155.81	158	155.1	1.09
15-Oct-17	156.25	157.9	160.87	155.02	-0.47
22-Oct-17	163.05	156.89	163.6	155.27	4.35
29-Oct-17	172.5	163.89	174.26	163.72	5.8
05-Nov-17	174.67	172.37	176.24	171.72	1.26
12-Nov-17	170.15	173.5	174.5	168.38	-2.59
19-Nov-17	174.97	170.29	175.5	169.56	2.83
26-Nov-17	171.05	175.05	175.08	167.16	-2.24
03-Dec-17	169.37	172.48	172.62	166.46	-0.98
10-Dec-17	173.97	169.2	174.17	168.79	2.72
17-Dec-17	175.01	174.88	177.2	173.25	0.6
24-Dec-17	169.23	170.8	171.85	169.22	-3.3
31-Dec-17	175	170.16	175.37	169.26	3.41
07-Jan-18	177.09	174.35	177.36	173	1.19
14-Jan-18	178.46	177.9	180.1	175.07	0.77
21-Jan-18	171.51	177.3	179.44	170.06	-3.89
28-Jan-18	160.5	170.16	170.16	160.1	-6.42
04-Feb-18	156.41	159.1	163.88	150.24	-2.55
11-Feb-18	172.43	158.5	174.82	157.51	10.24
18-Feb-18	175.5	172.05	175.65	171.01	1.78
25-Feb-18	176.21	176.35	180.62	172.45	0.4
04-Mar-18	179.98	175.21	180	174.27	2.14
11-Mar-18	178.02	180.29	183.5	177.62	-1.09
18-Mar-18	164.94	177.32	177.47	164.94	-7.35
25-Mar-18	167.78	168.07	175.15	165.19	1.72
01-Apr-18	168.38	167.88	174.23	164.47	0.36
08-Apr-18	174.73	169.88	175.84	169.84	3.77
15-Apr-18	165.72	175.03	178.94	165.43	-5.16
22-Apr-18	162.32	166.83	166.92	160.63	-2.05
