time,Price,Open,High,Low,Vol.,Change_g,Change_cal,Change_r,Change_ln,oil,sensex
166,78.68,79.65,81.58,77.97,363.91K,-0.0226,-2.260869565,-2.26,-0.022868191,-0.02,0.01
167,79.55,78.68,79.89,77.81,375.67K,0.0111,1.105744789,1.11,0.010996761,0.01,0.02
168,77.46,79.47,79.83,77.06,359.44K,-0.0263,-2.627278441,-2.63,-0.026624081,-0.03,0
169,79.87,78.75,80.46,77.03,360.58K,0.0311,3.111283243,3.11,0.030638639,0.03,0.02
170,77,79.98,80.21,76.85,412.39K,-0.0359,-3.593339176,-3.59,-0.036594891,-0.04,-0.01
171,78.13,77.02,78.66,76.56,371.01K,0.0147,1.467532468,1.47,0.014568684,0.01,0.01
172,79.6,78.09,79.77,76.55,373.99K,0.0188,1.881479585,1.88,0.018639987,0.02,0.01
173,80.4,79.47,81.06,79.12,366.10K,0.0101,1.005025126,1.01,0.010000083,0.01,0
174,79.62,80.29,80.52,79.34,257.60K,-0.0097,-0.970149254,-0.97,-0.009748859,-0.01,0
175,77.43,79.8,80.34,76.71,395.80K,-0.0275,-2.750565185,-2.75,-0.027891015,-0.03,-0.01
176,79.43,77.87,80.19,77.77,327.40K,0.0258,2.582978174,2.58,0.025501828,0.03,0.01
177,79.05,79.24,80.51,77.89,371.09K,-0.0048,-0.478408662,-0.48,-0.004795567,0,0.01
178,79.28,78.88,80.1,78.57,297.82K,0.0029,0.290955092,0.29,0.002905326,0,0
179,76.94,79.25,79.69,76.52,412.83K,-0.0295,-2.951564077,-2.95,-0.029959993,-0.03,0
180,76.35,76.78,77.67,75.57,335.37K,-0.0077,-0.766831297,-0.77,-0.007697866,-0.01,-0.02
181,78.9,76.58,79.43,76.35,361.39K,0.0334,3.339882122,3.34,0.032853196,0.03,-0.01
182,79.14,78.93,79.73,78.14,319.24K,0.003,0.30418251,0.3,0.003037208,0,0.02
183,79.58,79.38,80.33,78.67,253.66K,0.0056,0.55597675,0.56,0.005544369,0.01,0.02
184,77.46,79.63,79.87,77.06,175.23K,-0.0266,-2.663985926,-2.66,-0.027001131,-0.03,0
185,76.72,77.59,77.99,76.2,35.05K,-0.0096,-0.955331784,-0.96,-0.009599244,-0.01,0
186,77.56,77.8,79.92,77.15,382.89K,0.0109,1.094890511,1.09,0.0108894,0.01,0
187,76.02,77.45,77.8,75.6,413.03K,-0.0199,-1.985559567,-1.99,-0.020055367,-0.02,-0.01
188,77.96,75.83,78.09,75.5,337.39K,0.0255,2.551960011,2.55,0.025199411,0.03,0.01
189,76.05,77.8,77.94,72.39,301.35K,-0.0245,-2.449974346,-2.45,-0.024804856,-0.02,-0.01
190,77.28,76.05,78,75.13,358.54K,0.0162,1.617357002,1.62,0.016044171,0.02,0
191,78.37,77.35,79.04,77.01,310.48K,0.0141,1.410455487,1.41,0.014006011,0.01,0
192,76.6,77.9,78.59,76.22,340.90K,-0.0226,-2.25851729,-2.26,-0.022844124,-0.02,0
193,76.46,76.51,77.5,75.54,351.79K,-0.0018,-0.182767624,-0.18,-0.001829348,0,-0.01
194,75.47,75.83,77.9,74.85,411.58K,-0.0129,-1.294794664,-1.29,-0.013032502,-0.01,0
195,73.93,75.8,76.1,73.7,359.25K,-0.0204,-2.040545912,-2.04,-0.020616527,-0.02,0
196,72.62,74,74.39,72.43,424.77K,-0.0177,-1.771946436,-1.77,-0.017878334,-0.02,-0.01
197,70.67,73.12,73.87,70.13,526.97K,-0.0269,-2.685210686,-2.69,-0.027219211,-0.03,-0.01
198,70.54,70.8,71.39,69.81,407.66K,-0.0018,-0.183953587,-0.18,-0.00184123,0,0.01
199,69.87,70.57,71.2,69.46,343.41K,-0.0095,-0.949815707,-0.95,-0.009543552,-0.01,0.03
200,69.51,69.63,70.22,68.59,268.93K,-0.0052,-0.515242593,-0.52,-0.005165745,-0.01,0.01
201,70.69,69.57,71.15,69.31,262.95K,0.017,1.697597468,1.7,0.016833493,0.02,0
202,72.66,70.78,73.55,70.59,298.38K,0.0279,2.786815674,2.79,0.027486907,0.03,0
203,72.65,72.74,73.13,71.21,173.96K,-0.0001,-0.013762731,-0.01,-0.000137637,0,0.01
204,73.36,72.6,74.69,72.55,122.74K,0.0098,0.977288369,0.98,0.009725438,0.01,0.01
205,72.47,73.05,74.32,71.99,25.99K,-0.0121,-1.213195202,-1.21,-0.012206145,-0.01,0.01
206,74.4,73.43,74.91,72.72,196.83K,0.0266,2.663170967,2.66,0.026283259,0.03,0
207,76.67,74.52,77,74.25,205.59K,0.0305,3.051075269,3.05,0.030054556,0.03,0
208,78.05,76.59,78.25,76.19,102.48K,0.018,1.799921743,1.8,0.017839149,0.02,0
209,78.77,77.92,79.12,77.76,108.90K,0.0092,0.922485586,0.92,0.009182567,0.01,0
210,78.87,78.66,79.39,78.02,137.09K,0.0013,0.126951885,0.13,0.001268714,0,-0.01
211,79.28,78.8,79.8,78.46,156.08K,0.0052,0.519842779,0.52,0.005184963,0.01,0
212,79.36,79.28,80,79.16,120.37K,0.001,0.100908174,0.1,0.001008573,0,0
213,81.51,79.63,81.79,79.63,263.54K,0.0271,2.709173387,2.71,0.026731249,0.03,0
214,81.77,81.63,82,80.95,258.89K,0.0032,0.318979266,0.32,0.003184716,0,0
215,83.18,81.43,83.52,80.85,370.06K,0.0172,1.724348783,1.72,0.017096506,0.02,-0.01
216,82.66,83.2,83.36,82.26,246.63K,-0.0063,-0.625150277,-0.63,-0.006271125,-0.01,0
